base_model,language,train_cond,eval_cond,n
qwen25c-1.5b,python,mix,L2,40
qwen25c-1.5b,python,mix,S1,40
qwen25c-1.5b,python,mix,S2,40
qwen25c-1.5b,python,mix,H1,40
qwen25c-1.5b,javascript,none,L0,40
qwen25c-1.5b,javascript,none,L1r,40
qwen25c-1.5b,javascript,none,L1b,40
qwen25c-1.5b,javascript,none,L2,40
qwen25c-1.5b,javascript,none,S1,40
qwen25c-1.5b,javascript,none,S2,40
qwen25c-1.5b,javascript,none,H1,40
qwen25c-1.5b,javascript,L0,L0,40
qwen25c-1.5b,javascript,L0,L1r,40
qwen25c-1.5b,javascript,L0,L1b,40
qwen25c-1.5b,javascript,L0,L2,40
qwen25c-1.5b,javascript,L0,S1,40
qwen25c-1.5b,javascript,L0,S2,40
qwen25c-1.5b,javascript,L0,H1,40
qwen25c-1.5b,javascript,L1r,L0,40
qwen25c-1.5b,javascript,L1r,L1r,40
qwen25c-1.5b,javascript,L1r,L1b,40
qwen25c-1.5b,javascript,L1r,L2,40
qwen25c-1.5b,javascript,L1r,S1,40
qwen25c-1.5b,javascript,L1r,S2,40
qwen25c-1.5b,javascript,L1r,H1,40
qwen25c-1.5b,javascript,L1b,L0,40
qwen25c-1.5b,javascript,L1b,L1r,40
qwen25c-1.5b,javascript,L1b,L1b,40
qwen25c-1.5b,javascript,L1b,L2,40
qwen25c-1.5b,javascript,L1b,S1,40
qwen25c-1.5b,javascript,L1b,S2,40
qwen25c-1.5b,javascript,L1b,H1,40
qwen25c-1.5b,javascript,L2,L0,40
qwen25c-1.5b,javascript,L2,L1r,40
qwen25c-1.5b,javascript,L2,L1b,40
qwen25c-1.5b,javascript,L2,L2,40
qwen25c-1.5b,javascript,L2,S1,40
qwen25c-1.5b,javascript,L2,S2,40
qwen25c-1.5b,javascript,L2,H1,40
qwen25c-1.5b,javascript,S1,L0,40
qwen25c-1.5b,javascript,S1,L1r,40
qwen25c-1.5b,javascript,S1,L1b,40
qwen25c-1.5b,javascript,S1,L2,40
qwen25c-1.5b,javascript,S1,S1,40
qwen25c-1.5b,javascript,S1,S2,40
qwen25c-1.5b,javascript,S1,H1,40
qwen25c-1.5b,javascript,S2,L0,40
qwen25c-1.5b,javascript,S2,L1r,40
qwen25c-1.5b,javascript,S2,L1b,40
qwen25c-1.5b,javascript,S2,L2,40
qwen25c-1.5b,javascript,S2,S1,40
qwen25c-1.5b,javascript,S2,S2,40
qwen25c-1.5b,javascript,S2,H1,40
qwen25c-1.5b,javascript,mix,L0,40
qwen25c-1.5b,javascript,mix,L1r,40
qwen25c-1.5b,javascript,mix,L1b,40
qwen25c-1.5b,javascript,mix,L2,40
qwen25c-1.5b,javascript,mix,S1,40
qwen25c-1.5b,javascript,mix,S2,40
qwen25c-1.5b,javascript,mix,H1,40
qwen25c-7b,python,none,L0,40
qwen25c-7b,python,none,L1r,40
qwen25c-7b,python,none,L1b,40
qwen25c-7b,python,none,L2,40
qwen25c-7b,python,none,S1,40
qwen25c-7b,python,none,S2,40
qwen25c-7b,python,none,H1,40
qwen25c-7b,python,L0,L0,40
qwen25c-7b,python,L0,L1r,40
qwen25c-7b,python,L0,L1b,40
qwen25c-7b,python,L0,L2,40
qwen25c-7b,python,L0,S1,40
qwen25c-7b,python,L0,S2,40
qwen25c-7b,python,L0,H1,40
qwen25c-7b,python,L1r,L0,40
qwen25c-7b,python,L1r,L1r,40
qwen25c-7b,python,L1r,L1b,40
qwen25c-7b,python,L1r,L2,40
qwen25c-7b,python,L1r,S1,40
qwen25c-7b,python,L1r,S2,40
qwen25c-7b,python,L1r,H1,40
qwen25c-7b,python,L1b,L0,40
qwen25c-7b,python,L1b,L1r,40
qwen25c-7b,python,L1b,L1b,40
qwen25c-7b,python,L1b,L2,40
qwen25c-7b,python,L1b,S1,40
qwen25c-7b,python,L1b,S2,40
qwen25c-7b,python,L1b,H1,40
qwen25c-7b,python,L2,L0,40
qwen25c-7b,python,L2,L1r,40
qwen25c-7b,python,L2,L1b,40
qwen25c-7b,python,L2,L2,40
qwen25c-7b,python,L2,S1,40
qwen25c-7b,python,L2,S2,40
qwen25c-7b,python,L2,H1,40
qwen25c-7b,python,S1,L0,40
qwen25c-7b,python,S1,L1r,40
qwen25c-7b,python,S1,L1b,40
qwen25c-7b,python,S1,L2,40
qwen25c-7b,python,S1,S1,40
qwen25c-7b,python,S1,S2,40
qwen25c-7b,python,S1,H1,40
qwen25c-7b,python,S2,L0,40
qwen25c-7b,python,S2,L1r,40
qwen25c-7b,python,S2,L1b,40
qwen25c-7b,python,S2,L2,40
qwen25c-7b,python,S2,S1,40
qwen25c-7b,python,S2,S2,40
qwen25c-7b,python,S2,H1,40
qwen25c-7b,python,mix,L0,40
qwen25c-7b,python,mix,L1r,40
qwen25c-7b,python,mix,L1b,40
qwen25c-7b,python,mix,L2,40
qwen25c-7b,python,mix,S1,40
qwen25c-7b,python,mix,S2,40
qwen25c-7b,python,mix,H1,40
qwen25c-7b,javascript,none,L0,40
qwen25c-7b,javascript,none,L1r,40
qwen25c-7b,javascript,none,L1b,40
qwen25c-7b,javascript,none,L2,40
qwen25c-7b,javascript,none,S1,40
qwen25c-7b,javascript,none,S2,40
qwen25c-7b,javascript,none,H1,40
qwen25c-7b,javascript,L0,L0,40
qwen25c-7b,javascript,L0,L1r,40
qwen25c-7b,javascript,L0,L1b,40
qwen25c-7b,javascript,L0,L2,40
qwen25c-7b,javascript,L0,S1,40
qwen25c-7b,javascript,L0,S2,40
qwen25c-7b,javascript,L0,H1,40
qwen25c-7b,javascript,L1r,L0,40
qwen25c-7b,javascript,L1r,L1r,40
qwen25c-7b,javascript,L1r,L1b,40
qwen25c-7b,javascript,L1r,L2,40
qwen25c-7b,javascript,L1r,S1,40
qwen25c-7b,javascript,L1r,S2,40
qwen25c-7b,javascript,L1r,H1,40
qwen25c-7b,javascript,L1b,L0,40
qwen25c-7b,javascript,L1b,L1r,40
qwen25c-7b,javascript,L1b,L1b,40
qwen25c-7b,javascript,L1b,L2,40
qwen25c-7b,javascript,L1b,S1,40
qwen25c-7b,javascript,L1b,S2,40
qwen25c-7b,javascript,L1b,H1,40
qwen25c-7b,javascript,L2,L0,40
qwen25c-7b,javascript,L2,L1r,40
qwen25c-7b,javascript,L2,L1b,40
qwen25c-7b,javascript,L2,L2,40
qwen25c-7b,javascript,L2,S1,40
qwen25c-7b,javascript,L2,S2,40
qwen25c-7b,javascript,L2,H1,40
qwen25c-7b,javascript,S1,L0,40
qwen25c-7b,javascript,S1,L1r,40
qwen25c-7b,javascript,S1,L1b,40
qwen25c-7b,javascript,S1,L2,40
qwen25c-7b,javascript,S1,S1,40
qwen25c-7b,javascript,S1,S2,40
qwen25c-7b,javascript,S1,H1,40
qwen25c-7b,javascript,S2,L0,40
qwen25c-7b,javascript,S2,L1r,40
qwen25c-7b,javascript,S2,L1b,40
qwen25c-7b,javascript,S2,L2,40
qwen25c-7b,javascript,S2,S1,40
qwen25c-7b,javascript,S2,S2,40
qwen25c-7b,javascript,S2,H1,40
qwen25c-7b,javascript,mix,L0,40
qwen25c-7b,javascript,mix,L1r,40
qwen25c-7b,javascript,mix,L1b,40
qwen25c-7b,javascript,mix,L2,40
qwen25c-7b,javascript,mix,S1,40
qwen25c-7b,javascript,mix,S2,40
qwen25c-7b,javascript,mix,H1,40
